Pengeluaran,Jumlah,Kategori,Urgensi
Beli alat olahraga,150000,Hobi,3
Belanja elektronik,400000,Elektronik,2
Pembelian perangkat komputer,800000,Elektronik,2
Perawatan kesehatan gigi,200000,Kesehatan,1
Biaya perawatan spa,250000,Hiburan,3
Pengeluaran untuk acara,100000,Hiburan,3
Biaya pengiriman barang,50000,Belanja,3
Pembayaran cicilan HP,300000,Tagihan,1
Belanja alat kebersihan rumah,100000,Kebutuhan,2
Pengeluaran makan siang,70000,Makan,2
Jasa perawatan kulit,200000,Hiburan,3
Pembelian tiket konser,300000,Hiburan,3
Biaya event olahraga,150000,Hobi,3
Kebutuhan transportasi umum,100000,Transportasi,2
Jasa konsultan keuangan,500000,Servis,2
Pengeluaran acara keluarga,200000,Hiburan,3
Biaya renovasi kecil,250000,Renovasi,2
Pembelian kamera,700000,Elektronik,3
Beli barang-barang dekorasi rumah,150000,Belanja,3
Belanja alat berkebun,100000,Belanja,3
Pembayaran sewa kantor,2000000,Tagihan,1
Beli alat memasak,150000,Kebutuhan,2
Pembelian mainan anak,100000,Belanja,3
Biaya perawatan kendaraan,100000,Servis,2
Biaya perbaikan rumah,300000,Renovasi,2
Jasa fotografer,500000,Servis,3
Biaya langganan majalah,50000,Hiburan,3
Pembelian perabot kantor,300000,Belanja,3
Pengeluaran untuk kegiatan sosial,100000,Donasi,3
Pembelian hadiah ulang tahun,150000,Hiburan,3
Biaya pengiriman online,60000,Belanja,3
Pembayaran listrik rumah,350000,Tagihan,1
Pengeluaran untuk pengobatan,200000,Kesehatan,1
Pengeluaran untuk membership,150000,Hobi,3
Belanja makanan ringan,50000,Belanja,3
Pengeluaran untuk kursus bahasa,200000,Pendidikan,1
Kebutuhan transportasi pribadi,250000,Transportasi,2
Pembelian peralatan olahraga,100000,Hobi,3
Pengeluaran untuk game online,50000,Hiburan,3
Beli tiket bioskop,100000,Hiburan,3
Pembelian tas,200000,Kebutuhan,2
Pengeluaran untuk acara perusahaan,300000,Hiburan,3
Pembelian buku pendidikan anak,150000,Pendidikan,1
Pembelian aplikasi mobile,100000,Hiburan,3
Pengeluaran belanja online,500000,Belanja,3
Pembelian aksesori mobil,150000,Hobi,3
Pembayaran biaya perawatan kesehatan,300000,Kesehatan,1
Pengeluaran makan malam,150000,Makan,2
Pembelian perlengkapan tidur,200000,Belanja,3
Pembelian barang kebutuhan rumah tangga,500000,Kebutuhan,2
kebutuhan rumah tangga,500000,Kebutuhan,2
Belanja barang elektronik,700000,Elektronik,2
Pembayaran sewa rumah,4000000,Tagihan,1
Pengeluaran bulanan kantor,500000,Tagihan,1
Pembelian aksesori rumah,100000,Belanja,3
Belanja Thrifting,100000,Belanja,3
Nongkrong,10000,Hobi,3
Berobat orangtua,10000,Kesehatan,1
Bensin,10000,Transportasi,2
Bahan bakar,10000,Transportasi,2
Bensin Motor,10000,Transportasi,2
Bensin Mobil,10000,Transportasi,2
Modif motor,10000,Hobi,3
Modif mobil,10000,Hobi,3
Sedekah,10000,Donasi,3
Beli buku novel,10000,Hobi,3
Beli sepatu sekolah,30000,Pendidikan,1
Beli seragam sekolah,30000,Pendidikan,1
Berlangganan aplikasi belajar,10000,Pendidikan,1
Sunmori,10000,Hobi,3
Nightride,10000,Hobi,3
Camping,10000,Hiburan,3
Pergi ke luar kota,50000,Hiburan,3
Pergi ke luar negeri,1000000,Hiburan,3
Muncak,30000,Hiburan,3
Staycation,20000,Hiburan,3
Ngedate,20000,Hiburan,3
Kencan,20000,Hiburan,3
Membeli obat,10000,Hiburan,3
Rafting,20000,Hiburan,3
Main,10000,Hiburan,3
Main sama teman,10000,Hiburan,3
Main sama pacar,10000,Hiburan,3
Main sama sahabat,10000,Hiburan,3
Jalan jalan,10000,Hiburan,3
Beli handphone,30000,Elektronik,2
Nailart,10000,Hiburan,3
Sauna,10000,Hiburan,3
Karaoke,10000,Hiburan,3
Beli rokok,10000,Hobi,3
Beli vape,10000,Hobi,3
Jajan,10000,Hiburan,3
Beli bodycare,10000,Belanja,3
Belanja Online,10000,Belanja,3
Ngafe,10000,Hiburan,3
Ngopi,10000,Hiburan,3
Nonton konser,20000,Hiburan,3
Beli kerudung,10000,Kebutuhan,2
Beli Celana,10000,Kebutuhan,2
Tagihan utang,30000,Tagihan,1
Pinjol,10000,Tagihan,1
Beli galon,10000,Makan,2
Beli bumbu masakan,10000,Makan,2
Beli kulkas,30000,Elektronik,2
Ngecat rumah,20000,Renovasi,2
Bayar spp sekolah,10000,Pendidikan,1
Bayar ukt kuliah,600000,Pendidikan,1
Bayar iuran,10000,Tagihan,1
Beli makan hewan peliharaan,10000,Makan,2
Berobat hewan peliharaan,10000,kesehatan,1
Belanja kebutuhan kos,10000,Kebutuhan,2
Laundry,10000,Kebutuhan,2
Makanan & Minuman,10000,Makan,2
Transportasi,10000,Transportasi,2
kesehatan,10000,kesehatan,1
Tagihan & Utilitas,100000,Tagihan,1
Perawatan pribadi,10000,Hiburan,2
Pendidikan,400000,Pendidikan,1
Belanja,50000,Belanja,2
Investasi,200000,Investasi,2
Donasi,200000,Donasi,3
Lain lain,100000,Lain lain,2
Pengeluaran lain,100000,Lain lain,2
